work_item,predictions
WI_000165,-63828324056008.82
WI_000196,-63828324056040.07
WI_000264,-63828324056022.836
WI_000273,-63828324055884.836
WI_000278,-63828324056037.48
WI_000298,-63828324056036.29
WI_000396,-63828324056037.48
WI_000469,-63828324056040.07
WI_000492,-63828324056037.48
WI_000502,-63828324055971.164
WI_000512,-63828324056037.48
WI_000583,-63828324056048.24
WI_000614,-63828324056049.93
WI_000641,-63828324056007.73
WI_000771,-63828324056049.93
WI_000825,-63828324056049.93
WI_000847,-63828324056053.68
WI_000871,-63828324056037.48
WI_000872,-63828324056037.48
WI_000873,-63828324056037.48
WI_000891,-63828324056027.72
WI_000931,-63828324056044.586
WI_000963,-63828324055899.375
WI_001018,-63828324056002.4
WI_001022,-63828324056044.58
WI_001031,-63828324056049.93
WI_001037,-63828324056007.195
WI_001043,-63828324056049.93
WI_001068,-63828324056049.93
WI_001081,-63828324056036.68
WI_001084,-63828324056036.68
WI_001085,-63828324056036.68
WI_001086,-63828324056036.68
WI_001090,-63828324056049.22
WI_001095,-63828324056037.48
WI_001099,-63828324056044.484
WI_001148,-63828324056041.99
WI_001160,-63828324055997.71
WI_001167,-63828324055993.445
WI_001200,-63828324056042.86
WI_001211,-63828324055881.664
WI_001289,-63828324055933.28
WI_001292,-63828324055930.45
WI_001312,-63828324056053.68
WI_001346,-63828324056049.93
WI_001348,-63828324056049.93
WI_001349,-63828324056053.52
WI_001455,-63828324055995.305
WI_001494,-63828324055912.125
WI_001540,-63828324056049.93
WI_001660,-63828324056046.17
WI_001761,-63828324055938.484
WI_001764,-63828324056048.086
WI_001765,-63828324056048.086
WI_001766,-63828324056048.086
WI_001779,-63828324056038.37
WI_001796,-63828324056031.914
WI_001813,-63828324056044.484
WI_001828,-63828324056033.1
WI_001835,-63828324056020.164
WI_001889,-63828324055982.68
WI_001898,-63828324056012.305
WI_001931,-63828324055970.64
WI_001939,-63828324056049.93
WI_002120,-63828324056046.45
WI_002143,-63828324056047.17
WI_002159,-63828324056053.68
WI_002172,-63828324056053.52
WI_002212,-63828324055978.42
WI_002245,-63828324056053.68
WI_002347,-63828324055993.945
WI_002376,-63828324056042.86
WI_002464,-63828324056017.77
WI_002518,-63828324056052.9
WI_002583,-63828324056050.05
WI_002678,-63828324056012.29
WI_002842,-63828324056007.25
WI_002873,-63828324056048.74
WI_002901,-63828324055951.34
WI_002909,-63828324056029.83
WI_002948,-63828324055997.36
WI_002950,-63828324056049.42
WI_003001,-63828324056031.62
WI_003042,-63828324056036.85
WI_003060,-63828324056001.01
WI_003090,-63828324056039.23
WI_003175,-63828324056025.055
WI_003207,-63828324055963.86
WI_003277,-63828324055838.03
WI_003304,-63828324056042.07
WI_003331,-63828324055881.43
WI_003354,-63828324056021.984
WI_003378,-63828324056013.516
WI_003395,-63828324056049.93
WI_003409,-63828324056028.91
WI_003439,-63828324056020.23
WI_003446,-63828324056041.65
WI_003457,-63828324056038.76
WI_003463,-63828324056029.63
WI_003489,-63828324056049.93
WI_003512,-63828324056050.25
WI_003530,-63828324056052.336
WI_003537,-63828324055998.33
WI_003578,-63828324056034.17
WI_003584,-63828324056049.93
WI_003595,-63828324055988.484
WI_003658,-63828324056040.48
WI_003660,-63828324056072.64
WI_003755,-63828324056011.69
WI_003756,-63828324055999.22
WI_003773,-63828324056029.836
WI_003788,-63828324056053.68
WI_003792,-63828324055911.45
WI_003801,-63828324056052.52
WI_003827,-63828324056006.09
WI_003854,-63828324056049.2
WI_003890,-63828324056049.15
WI_003903,-63828324056052.49
WI_003913,-63828324056032.2
WI_003950,-63828324056011.46
WI_004018,-63828324056049.93
WI_004019,-63828324056000.07
WI_004047,-63828324056038.96
WI_004053,-63828324055926.92
WI_004055,-63828324056034.17
WI_004066,-63828324056054.96
WI_004072,-63828324056049.93
WI_004086,-63828324056049.15
WI_004089,-63828324056050.83
WI_004169,-63828324055983.055
WI_004181,-63828324055961.38
WI_004231,-63828324056008.59
WI_004245,-63828324056041.67
WI_004261,-63828324056013.516
WI_004268,-63828324056024.29
WI_004293,-63828324055988.484
WI_004300,-63828324056038.76
WI_004329,-63828324055919.82
WI_004331,-63828324055489.84
WI_004417,-63828324056039.68
WI_004465,-63828324055987.31
WI_004501,-63828324055967.95
WI_004502,-63828324055967.95
WI_004503,-63828324055970.266
WI_004504,-63828324055970.266
WI_004505,-63828324055970.266
WI_004506,-63828324056049.305
WI_004528,-63828324055955.86
WI_004643,-63828324056015.37
WI_004646,-63828324056042.86
WI_004685,-63828324056022.88
WI_004702,-63828324056054.96
WI_004735,-63828324055957.42
WI_004743,-63828324055922.49
WI_004762,-63828324056050.06
WI_004772,-63828324056011.96
WI_004779,-63828324056007.875
WI_004821,-63828324056045.83
WI_004822,-63828324056074.18
WI_004852,-63828324056045.83
WI_004855,-63828324056045.664
WI_004870,-63828324055971.445
WI_004879,-63828324056053.77
WI_004893,-63828324056045.83
WI_004962,-63828324056004.67
WI_004980,-63828324056001.41
WI_004988,-63828324056004.484
WI_004995,-63828324056011.64
WI_005045,-63828324055932.96
WI_005056,-63828324055954.46
WI_005074,-63828324056041.65
WI_005085,-63828324055958.81
WI_005088,-63828324056041.586
WI_005090,-63828324056014.24
WI_005093,-63828324056046.45
WI_005144,-63828324056013.93
WI_005155,-63828324056001.86
WI_005157,-63828324056004.805
WI_005158,-63828324056037.21
WI_005193,-63828324056049.15
WI_005217,-63828324056015.89
WI_005241,-63828324056042.86
WI_005265,-63828324055981.12
WI_005292,-63828324056051.27
WI_005301,-63828324056020.57
WI_005308,-63828324056058.51
WI_005328,-63828324055992.05
WI_005332,-63828324056045.234
WI_005338,-63828324056042.86
WI_005354,-63828324056046.62
WI_005373,-63828324056051.04
WI_005381,-63828324056022.086
WI_005389,-63828324056016.414
WI_005408,-63828324056018.65
WI_005409,-63828324055992.89
WI_005437,-63828324056044.47
WI_005498,-63828324055944.96
WI_005506,-63828324056032.93
WI_005530,-63828324055946.11
WI_005557,-63828324056011.46
WI_005611,-63828324056009.9
WI_005625,-63828324056025.586
WI_005629,-63828324056021.72
WI_005660,-63828324055967.555
WI_005663,-63828324056008.39
WI_005759,-63828324056050.06
WI_005765,-63828324055876.65
WI_005902,-63828324055951.89
WI_005927,-63828324055974.81
WI_005940,-63828324056046.45
WI_005969,-63828324056042.86
WI_005972,-63828324056074.586
WI_005975,-63828324055973.695
WI_005981,-63828324056042.86
WI_005996,-63828324056011.46
WI_006026,-63828324055968.66
WI_006027,-63828324055885.92
WI_006045,-63828324056042.86
WI_006055,-63828324056033.94
WI_006061,-63828324056046.45
WI_006063,-63828324056046.45
WI_006065,-63828324056001.86
WI_006069,-63828324056053.77
WI_006097,-63828324056053.52
WI_006116,-63828324056046.45
WI_006152,-63828324056075.37
WI_006185,-63828324056012.47
WI_006187,-63828324055913.53
WI_006196,-63828324055960.85
WI_006199,-63828324056008.62
WI_006274,-63828324056019.42
WI_006289,-63828324055965.875
WI_006291,-63828324055795.52
WI_006307,-63828324056032.305
WI_006328,-63828324055980.31
WI_006340,-63828324056028.305
WI_006344,-63828324055988.1
WI_006373,-63828324056039.664
WI_006381,-63828324056040.445
WI_006386,-63828324056040.445
WI_006395,-63828324056040.445
